ID,POSITION,COMPANY,NET,TECH,CITY,LINK
1, Senior Java Engineer ,EDGE Consulting Sp. z o.o. , 16 800  - 25 200  PLN , java ," Krakow, POL
 ",https://nofluffjobs.com/pl/job/senior-java-engineer-edge-consulting-krakow-oxz52y8u
2, Senior/Regular Java Developer ,Mindbox S.A. , 16 800  - 25 200  PLN , java ," Kraków, POL
 ",https://nofluffjobs.com/pl/job/senior-regular-java-developer-mindbox-krakow-ly35wtiz
3, Java Developer ,Power Media , 10 000  - 19 500  PLN , java ," Kraków, POL
 ",https://nofluffjobs.com/pl/job/java-developer-power-media-krakow-nvyifluq
4, Full Stack Software Developer ,SmartWays Sp z o.o. , 12 000  - 18 000  PLN , javascript ," Kraków, POL
",https://nofluffjobs.com/pl/job/full-stack-software-developer-smartways-krakow-xlzt3zvm
5, Java Software Developer ,SmartWays Sp z o.o. , 12 000  - 19 000  PLN , java ," Kraków, POL
 ",https://nofluffjobs.com/pl/job/java-software-developer-smartways-krakow-ckmlv3fi
6, Tester aplikacji Backend ,InPost S.A. , 10 000  - 11 000  PLN , java ," Kraków, POL
",https://nofluffjobs.com/pl/job/tester-aplikacji-backend-inpost-krakow-uln6w9pj
7, Backend Java Developer ,Link Group Sp. z o. o. , 15 120  - 19 320  PLN , java ," Kraków, POL
 ",https://nofluffjobs.com/pl/job/backend-java-developer-link-group-krakow-stz81nd1
8, Fullstack Java Developer ,Link Group Sp. z o. o. , 15 120  - 21 840  PLN , java ," Kraków, POL
 ",https://nofluffjobs.com/pl/job/fullstack-java-developer-link-group-krakow-78eyitjm
9, Java Developer ,AUTENTI sp.  z o.o. , 14 000  - 19 000  PLN , java ," Kraków, POL
",https://nofluffjobs.com/pl/job/java-developer-autenti-sp-z-o-o-krakow-fyhxaz7j
10, Java Developer ,Codibly , 10 000  - 15 000  PLN , java ," Kraków, POL
",https://nofluffjobs.com/pl/job/java-developer-codibly-krakow-kyorid90
11, Middle/Senior Java Developer ,Spyrosoft , 13 000  - 19 000  PLN , java ," Kraków, POL
 ",https://nofluffjobs.com/pl/job/middle-senior-java-developer-spyrosoft-krakow-yrnrdewz
12, Mid/Senior Java Developer ,Sii Polska , 15 750  - 22 050  PLN , java ," Kraków, POL
",https://nofluffjobs.com/pl/job/mid-senior-java-developer-sii-polska-krakow-cthvczta
13, Java/Scala Software Engineer ,Synerise , 16 000  - 24 000  PLN , Scala ," Kraków, POL
 ",https://nofluffjobs.com/pl/job/java-scala-software-engineer-synerise-krakow-hjl9une9
14, Java Engineer ,Branchspace sp. z o.o. , 15 000  - 21 000  PLN , java ," Kraków, POL
 ",https://nofluffjobs.com/pl/job/java-engineer-branchspace-krakow-k4eobmff
15, Full Stack Developer ,Branchspace sp. z o.o. , 13 000  - 18 000  PLN , javascript ," Kraków, POL
 ",https://nofluffjobs.com/pl/job/full-stack-developer-branchspace-krakow-lvluajwh
16, Java Developer ,CrustLab , 9 000  - 13 500  PLN , java ," Kraków, POL
",https://nofluffjobs.com/pl/job/java-developer-crustlab-krakow-vvq7dltr
17, Software Engineer ,Bidroom , 10 000  - 18 000  PLN , java ," Kraków, POL
",https://nofluffjobs.com/pl/job/software-engineer-bidroom-krakow-ba5240kn
18, Software Engineer ,Noble Systems Corporation , 8 500  - 17 000  PLN , c++ ," Kraków, POL
",https://nofluffjobs.com/pl/job/software-engineer-noble-systems-corporation-krakow-c19q85ss
19, Java Developer ,Instytut Rozwoju Kapitału Ludzkiego , 9 000  - 14 000  PLN , java ," Kraków, POL
 ",https://nofluffjobs.com/pl/job/java-developer-instytut-rozwoju-kapitalu-ludzkiego-krakow-jyrrbr4h
20, Linux Developer ,Randstad Polska , 12 000  - 24 000  PLN , linux ," Kraków, POL
 ",https://nofluffjobs.com/pl/job/linux-developer-randstad-polska-krakow-jm34lj4t
21, Fullstack Java Developer ,Appliscale , 12 000  - 20 000  PLN , java ," Krakow, POL
",https://nofluffjobs.com/pl/job/fullstack-java-developer-appliscale-krakow-wporzblp
22, Application Developer ,SQ3 Partners Poland , 10 000  - 15 000  PLN , golang ," Kraków, POL
 ",https://nofluffjobs.com/pl/job/application-developer-sq3-partners-poland-krakow-jmaz7mr3
23, Full Stack Developer ,Mindbox S.A. , 17 000  - 21 000  PLN , java ," Kraków, POL
 ",https://nofluffjobs.com/pl/job/full-stack-developer-mindbox-krakow-byahyfyi
24, Remote Fullstack React/Java Developer ,Summer Agency  , 11 000  - 17 000  PLN , react ," Kraków, POL
 ",https://nofluffjobs.com/pl/job/remote-fullstack-react-java-developer-summer-agency-krakow-nqipnjlf
25, Java Developer ,Kitopi , 17 000  - 22 000  PLN , java ," Kraków, POL
",https://nofluffjobs.com/pl/job/java-developer-kitopi-krakow-uijjb9qt
26, Java Engineer ,Branchspace sp. z o.o. , 14 000  - 18 500  PLN , java ," Kraków, POL
 ",https://nofluffjobs.com/pl/job/java-engineer-branchspace-krakow-4neetqij
27, Java Engineer ,Ringier Axel Springer Polska , 8 500  - 14 000  PLN , java ," Kraków, POL
 ",https://nofluffjobs.com/pl/job/java-engineer-ringier-axel-springer-polska-krakow-9avhgsif
28, Java Developer with gaming experience ,NOVOMATIC Technologies Poland S.A. , 9 600  - 18 000  PLN , java ," Kraków, POL
",https://nofluffjobs.com/pl/job/java-developer-with-gaming-experience-novomatic-technologies-poland-krakow-wb4ncyau
29, Regular/Senior Java Developer | FinTech ,JCommerce Sp z o o , 16 800  - 21 840  PLN , java ," Kraków, POL
 ",https://nofluffjobs.com/pl/job/regular-senior-java-developer-fintech-jcommerce-krakow-qjo0deu3
30, AWS Consultant ,Pattern Match , 16 000  - 19 000  PLN , java ," Kraków, POL
 ",https://nofluffjobs.com/pl/job/aws-consultant-pattern-match-krakow-i3tkb9bu
31, Node.js Developer ,Making Waves Polska Sp. z o. o. , 16 800  - 20 160  PLN , Node ," Kraków, POL
",https://nofluffjobs.com/pl/job/node-js-developer-making-waves-polska-krakow-15drhsac
32, Regular/Senior Integration Developer ,Unity Group , 9 240  - 16 800  PLN , java ," Kraków, POL
 ",https://nofluffjobs.com/pl/job/regular-senior-integration-developer-unity-group-krakow-7g2jvekb
33, Java EE Developer ,Forward Thinking Systems Polska sp. z o.o. , 7 000  - 11 000  PLN , java ," Kraków, POL
",https://nofluffjobs.com/pl/job/java-ee-developer-forward-thinking-systems-polska-krakow-mvax6f1x
34, Fullstack Java Developer ,Metrosoft , 13 000  - 18 000  PLN , java ," Kraków, POL
",https://nofluffjobs.com/pl/job/fullstack-java-developer-metrosoft-krakow-0xblp9vb
35, Java Developer ,Miquido , 10 900  - 14 600  PLN , java ," Kraków, POL
 ",https://nofluffjobs.com/pl/job/java-developer-miquido-krakow-2seubqgh
